,0
% Student Enrollment - White,1.1382094148702153
% Student Enrollment - Black or African American,67.31428728552574
% Student Enrollment - Hispanic or Latino,30.695061592608887
% Student Enrollment - Asian,0.2668169819621645
% Student Enrollment - Low Income,96.31054773427189
Student Attendance Rate,82.84470963484381
High School Dropout Rate - Total,14.108633963924328
High School 4-Year Graduation Rate - Total,52.32344918609766
% Graduates enrolled in a Postsecondary Institution within 12 months,38.002870655521335
Cluster Position,2.0
